transaction_id,date,department,category,description,transaction_type,amount,currency,status
TXN-546827,26/12/2023,Logistics,Other Revenue,Other Revenue related to Logistics,Revenue,125376.12,USD,Completed
TXN-865241,2025-06-26,Operations,Subscription Revenue,Subscription Revenue related to Operations,Revenue,"$15,575.27",USD,Completed
TXN-562943,2023-10-12,Sales,Salaries,Salaries related to Sales,Expense,"$35,928.88",USD,Completed
TXN-568050,2023-03-24,Administration,Logistics,Logistics related to Administration,Expense,48685.82,USD,Completed
TXN-401531,2024-06-10,Legal,Product Sales,Product Sales related to Legal,Revenue,132617.64,USD,Completed
TXN-649970,05/01/2024,Procurement,Salaries,Salaries related to Procurement,Expense,39456.57,USD,Completed
TXN-383918,2025-04-15,IT,Subscription Revenue,Subscription Revenue related to IT,Revenue,100933.13,USD,Completed
TXN-682677,2023-06-18,IT,Professional Services,Professional Services related to IT,Expense,6092.56,USD,Completed
TXN-829099,2024-10-14,Administration,Other Revenue,Other Revenue related to Administration,Revenue,31625.72,GBP,Completed
TXN-474448,2023-03-02,Logistics,Service Revenue,Service Revenue related to Logistics,Revenue,87340.62,GBP,Completed
TXN-368221,2023-01-26,Procurement,Office,Office related to Procurement,Expense,33965.48,USD,Completed
TXN-886656,2023-12-15,Procurement,Logistics,Logistics related to Procurement,Expense,38652.79,USD,Completed
TXN-787900,2023-03-19,Operations,Other Revenue,Other Revenue related to Operations,Revenue,146068.65,USD,Completed
TXN-895459,18/01/2025,R&D,Utilities,Utilities related to R&D,Expense,"$14,084.55",USD,Completed
TXN-897515,2023-12-21,Legal,Office,Office related to Legal,Expense,20738.23,USD,Completed
TXN-479018,2025-06-08,Procurement,Software,Software related to Procurement,Expense,49241.46,USD,Completed
TXN-170111,2025-02-21,Operations,Product Sales,Product Sales related to Operations,Revenue,23895.57,USD,Completed
TXN-317487,2023-07-15,IT,Travel,Travel related to IT,Expense,20888.24,USD,Completed
TXN-800126,07/01/2024,IT,Logistics,Logistics related to IT,Expense,39331.23,USD,Completed
TXN-236295,2025-11-24,Logistics,Marketing,Marketing related to Logistics,Expense,18924.53,USD,Completed
TXN-875808,2025-04-20,R&D,Subscription Revenue,Subscription Revenue related to R&D,Revenue,144172.31,USD,Completed
TXN-922659,2024-12-30,Finance,Subscription Revenue,Subscription Revenue related to Finance,Revenue,"$102,840.42",USD,Completed
TXN-747557,2023-08-25,HR,Training,Training related to HR,Expense,32199.21,GBP,Completed
TXN-500892,2025-02-04,IT,Product Sales,Product Sales related to IT,Revenue,17342.25,USD,Completed
TXN-904002,2024-09-06,R&D,Cloud Infrastructure,Cloud Infrastructure related to R&D,Expense,"$25,865.90",USD,Completed
TXN-353814,2023-07-30,Finance,Travel,Travel related to Finance,Expense,47026.71,USD,Completed
TXN-780812,24/11/2024,Finance,Service Revenue,Service Revenue related to Finance,Revenue,131138.85,USD,Completed
TXN-186095,2023-11-10,Legal,Other Revenue,Other Revenue related to Legal,Revenue,15448.39,USD,Completed
TXN-794827,2023-01-23,Finance,Service Revenue,Service Revenue related to Finance,Revenue,147427.56,GBP,Completed
TXN-287957,02/02/2024,Operations,Product Sales,Product Sales related to Operations,Revenue,70791.09,USD,Completed
TXN-659707,2023-07-25,HR,Utilities,Utilities related to HR,Expense,13705.98,USD,Completed
TXN-580847,2023-05-29,Sales,Procurement,Procurement related to Sales,Expense,47265.53,USD,Completed
TXN-460689,2024-07-16,Legal,Maintenance,Maintenance related to Legal,Expense,20262.60,USD,Completed
TXN-617326,2025-12-04,Administration,Software,Software related to Administration,Expense,30852.56,USD,Completed
TXN-652205,2024-07-10,Finance,Software,Software related to Finance,Expense,"$37,674.40",USD,Completed
TXN-408121,2025-08-28,Operations,Other Revenue,Other Revenue related to Operations,Revenue,95193.06,USD,Completed
TXN-102624,2023-04-10,Customer Support,Salaries,Salaries related to Customer Support,Expense,24133.30,USD,Completed
TXN-598835,2025-08-25,Operations,Cloud Infrastructure,Cloud Infrastructure related to Operations,Expense,22872.89,EUR,Completed
TXN-337351,2025-04-15,Operations,Subscription Revenue,Subscription Revenue related to Operations,Revenue,"$51,079.43",USD,Completed
TXN-226282,2023-03-06,Operations,Marketing,Marketing related to Operations,Expense,"$1,838.57",USD,Completed
TXN-951445,2025-04-30,Marketing,Logistics,Logistics related to Marketing,Expense,7268.39,USD,Completed
TXN-621977,2025-02-22,R&D,Cloud Infrastructure,Cloud Infrastructure related to R&D,Expense,36395.28,USD,Completed
TXN-540131,2025-07-29,HR,Salaries,Salaries related to HR,Expense,32922.17,EUR,Completed
TXN-473944,2025-01-12,Operations,Office,Office related to Operations,Expense,151147.52,USD,Completed
TXN-648128,28/08/2023,Legal,Logistics,Logistics related to Legal,Expense,46699.89,USD,Completed
TXN-248882,2023-05-17,Sales,Software,Software related to Sales,Expense,"$28,445.58",USD,Completed
TXN-707307,05/12/2024,R&D,Consulting Revenue,Consulting Revenue related to R&D,Revenue,17295.92,USD,Completed
TXN-496731,2023-02-07,Sales,Procurement,Procurement related to Sales,Expense,5278.92,USD,Completed
TXN-655026,2025-04-03,HR,Salaries,Salaries related to HR,Expense,10853.91,USD,Completed
TXN-393813,2025-12-20,Procurement,Office,Office related to Procurement,Expense,34232.38,USD,Completed
TXN-568907,2024-06-17,Sales,Subscription Revenue,Subscription Revenue related to Sales,Revenue,36645.63,USD,Completed
TXN-100373,2024-11-07,Sales,Utilities,Utilities related to Sales,Expense,4533.36,USD,Completed
TXN-520824,2023-01-29,Sales,Logistics,Logistics related to Sales,Expense,19123.14,USD,Completed
TXN-870068,2023-12-09,Operations,Office,Office related to Operations,Expense,7828.30,USD,Completed
TXN-388810,2023-04-10,IT,Maintenance,Maintenance related to IT,Expense,"$46,749.34",USD,Completed
TXN-134365,2023-09-29,Legal,Salaries,Salaries related to Legal,Expense,35005.44,USD,Completed
TXN-958918,2025-09-29,IT,Professional Services,Professional Services related to IT,Expense,4602.37,USD,Completed
TXN-251714,2024-06-29,Logistics,Other Revenue,Other Revenue related to Logistics,Revenue,88313.58,USD,Completed
TXN-152506,2025-10-29,Operations,Service Revenue,Service Revenue related to Operations,Revenue,109388.88,EUR,Completed
TXN-498259,10/04/2024,Finance,Other Revenue,Other Revenue related to Finance,Revenue,48026.40,USD,Completed
TXN-867468,2023-02-16,Customer Support,Utilities,Utilities related to Customer Support,Expense,14921.28,USD,Completed
TXN-820420,11/11/2025,Marketing,Training,Training related to Marketing,Expense,40599.47,EUR,Completed
TXN-961971,2023-05-31,Administration,Procurement,Procurement related to Administration,Expense,"$30,221.44",USD,Completed
TXN-770896,2024-11-28,Logistics,Procurement,Procurement related to Logistics,Expense,48528.08,USD,Completed
TXN-897763,2025-05-25,Administration,Product Sales,Product Sales related to Administration,Revenue,"$29,280.50",USD,Completed
TXN-244297,25/07/2025,Sales,Marketing,Marketing related to Sales,Expense,2560.93,USD,Completed
TXN-506407,2024-08-02,Customer Support,Logistics,Logistics related to Customer Support,Expense,26887.51,USD,Completed
TXN-170469,2025-10-02,Finance,Service Revenue,Service Revenue related to Finance,Revenue,38938.72,USD,Completed
TXN-379477,2024-04-16,HR,Travel,Travel related to HR,Expense,"$14,370.36",USD,Completed
TXN-239876,2024-01-01,IT,Salaries,Salaries related to IT,Expense,"$26,252.36",USD,Completed
TXN-617217,2024-03-14,Operations,Consulting Revenue,Consulting Revenue related to Operations,Revenue,27777.03,USD,Completed
TXN-485860,2023-01-21,Finance,Product Sales,Product Sales related to Finance,Revenue,148083.57,USD,Completed
TXN-652482,2024-04-17,Customer Support,Consulting Revenue,Consulting Revenue related to Customer Support,Revenue,113442.04,USD,Completed
TXN-440277,2024-12-30,Finance,Service Revenue,Service Revenue related to Finance,Revenue,97890.05,EUR,Completed
TXN-232940,2024-12-08,Finance,Professional Services,Professional Services related to Finance,Expense,29618.45,GBP,Completed
TXN-146443,2024-11-15,R&D,Professional Services,Professional Services related to R&D,Expense,"$23,942.56",USD,Completed
TXN-648525,2024-04-21,Procurement,Service Revenue,Service Revenue related to Procurement,Revenue,59556.03,USD,Completed
TXN-175397,2024-07-06,Legal,Training,Training related to Legal,Expense,17836.08,USD,Completed
TXN-637547,2023-06-27,R&D,Consulting Revenue,Consulting Revenue related to R&D,Revenue,"$8,353.49",USD,Completed
TXN-999303,2025-06-25,Legal,Marketing,Marketing related to Legal,Expense,35136.17,USD,Completed
TXN-608569,2025-07-02,IT,Software,Software related to IT,Expense,38664.66,USD,Completed
TXN-268319,2023-03-15,Administration,Marketing,Marketing related to Administration,Expense,33906.56,USD,Completed
TXN-882222,12/12/2023,Administration,Training,Training related to Administration,Expense,38787.82,USD,Completed
TXN-222874,2023-08-21,IT,Maintenance,Maintenance related to IT,Expense,44353.63,USD,Completed
TXN-939589,2023-09-03,Customer Support,Product Sales,Product Sales related to Customer Support,Revenue,137532.69,USD,Completed
TXN-885406,12/10/2024,Customer Support,Utilities,Utilities related to Customer Support,Expense,27145.35,USD,Completed
TXN-383837,2023-04-28,IT,Travel,Travel related to IT,Expense,47950.64,USD,Completed
TXN-196016,2023-01-12,Customer Support,Maintenance,Maintenance related to Customer Support,Expense,43095.66,USD,Completed
TXN-934163,2023-02-09,IT,Marketing,Marketing related to IT,Expense,42883.48,EUR,Completed
TXN-379343,2023-07-10,Legal,Other Revenue,Other Revenue related to Legal,Revenue,8364.67,USD,Completed
TXN-716526,2025-06-21,Finance,Subscription Revenue,Subscription Revenue related to Finance,Revenue,99795.13,USD,Completed
TXN-229645,2024-10-30,Legal,Professional Services,Professional Services related to Legal,Expense,47904.02,USD,Completed
TXN-789571,2025-12-14,Procurement,Consulting Revenue,Consulting Revenue related to Procurement,Revenue,61533.07,USD,Completed
TXN-498297,2024-06-09,Operations,Software,Software related to Operations,Expense,5777.93,USD,Completed
TXN-210026,24/10/2024,Marketing,Salaries,Salaries related to Marketing,Expense,13572.19,USD,Completed
TXN-619201,2025-03-18,Marketing,Subscription Revenue,Subscription Revenue related to Marketing,Revenue,149856.77,USD,Completed
TXN-366431,2024-07-05,Logistics,Logistics,Logistics related to Logistics,Expense,"$47,960.84",USD,Completed
TXN-149071,2024-05-16,Procurement,Subscription Revenue,Subscription Revenue related to Procurement,Revenue,"$113,154.21",USD,Completed
TXN-623108,2023-06-19,Legal,Cloud Infrastructure,Cloud Infrastructure related to Legal,Expense,"$1,736.67",USD,Completed
TXN-515729,23/09/2023,Logistics,Salaries,Salaries related to Logistics,Expense,4013.05,GBP,Completed
TXN-921091,2025-01-19,Legal,Salaries,Salaries related to Legal,Expense,3196.80,USD,Completed
TXN-495190,2023-08-13,Customer Support,Logistics,Logistics related to Customer Support,Expense,48537.39,EUR,Completed
TXN-937977,2023-07-24,Sales,Product Sales,Product Sales related to Sales,Revenue,149392.32,USD,Completed
TXN-776680,2023-12-11,Administration,Service Revenue,Service Revenue related to Administration,Revenue,20651.92,USD,Completed
TXN-745242,2023-04-05,Operations,Office,Office related to Operations,Expense,47685.70,USD,Completed
TXN-465934,2023-02-19,R&D,Product Sales,Product Sales related to R&D,Revenue,57595.16,GBP,Completed
TXN-361233,2023-08-04,Marketing,Training,Training related to Marketing,Expense,23448.01,USD,Completed
TXN-774068,04/09/2023,Administration,Product Sales,Product Sales related to Administration,Revenue,77971.06,USD,Completed
TXN-931629,2025-01-17,Customer Support,Software,Software related to Customer Support,Expense,"$20,176.85",USD,Completed
TXN-624063,2023-02-04,IT,Subscription Revenue,Subscription Revenue related to IT,Revenue,86239.42,USD,Completed
TXN-857182,2024-04-01,Customer Support,Service Revenue,Service Revenue related to Customer Support,Revenue,63324.93,USD,Completed
TXN-789801,2024-07-07,Sales,Travel,Travel related to Sales,Expense,"$24,162.88",USD,Completed
TXN-127118,15/07/2025,Customer Support,Marketing,Marketing related to Customer Support,Expense,7081.35,EUR,Completed
TXN-523140,06/06/2025,IT,Service Revenue,Service Revenue related to IT,Revenue,39339.63,USD,Completed
TXN-559531,06/05/2023,Marketing,Subscription Revenue,Subscription Revenue related to Marketing,Revenue,81673.99,USD,Completed
TXN-135368,15/11/2024,Procurement,Office,Office related to Procurement,Expense,4568.02,GBP,Completed
TXN-956276,2023-03-07,Logistics,Subscription Revenue,Subscription Revenue related to Logistics,Revenue,"$84,779.87",USD,Completed
TXN-144169,2024-04-25,Administration,Software,Software related to Administration,Expense,43258.04,USD,Completed
TXN-555753,2023-08-20,IT,Subscription Revenue,Subscription Revenue related to IT,Revenue,60658.46,EUR,Completed
TXN-337056,2024-10-28,R&D,Office,Office related to R&D,Expense,15676.45,USD,Completed
TXN-912639,08/12/2025,Sales,Consulting Revenue,Consulting Revenue related to Sales,Revenue,79373.14,GBP,Completed
TXN-451190,2024-04-08,Logistics,Software,Software related to Logistics,Expense,33956.91,USD,Completed
TXN-676912,2023-12-21,Finance,Logistics,Logistics related to Finance,Expense,16717.76,USD,Completed
TXN-953544,15/10/2024,Administration,Other Revenue,Other Revenue related to Administration,Revenue,"$148,315.81",USD,Completed
TXN-841516,31/08/2025,HR,Office,Office related to HR,Expense,40322.02,USD,Completed
TXN-577757,2025-08-13,R&D,Consulting Revenue,Consulting Revenue related to R&D,Revenue,133879.54,GBP,Completed
TXN-518528,2024-08-02,Legal,Maintenance,Maintenance related to Legal,Expense,17249.50,USD,Completed
TXN-108403,2025-10-15,Marketing,Consulting Revenue,Consulting Revenue related to Marketing,Revenue,114518.66,EUR,Completed
TXN-443011,2024-07-26,Finance,Service Revenue,Service Revenue related to Finance,Revenue,29398.70,USD,Completed
TXN-775739,2023-03-08,Legal,Consulting Revenue,Consulting Revenue related to Legal,Revenue,18676.26,EUR,Completed
TXN-452105,2025-12-01,Customer Support,Maintenance,Maintenance related to Customer Support,Expense,20140.53,EUR,Completed
TXN-875658,2023-04-29,Administration,Office,Office related to Administration,Expense,19659.91,USD,Completed
TXN-803297,2024-09-18,Marketing,Service Revenue,Service Revenue related to Marketing,Revenue,120479.30,USD,Completed
TXN-213755,2025-06-15,Administration,Office,Office related to Administration,Expense,41153.01,USD,Completed
TXN-298685,2025-06-09,Finance,Travel,Travel related to Finance,Expense,13858.65,USD,Completed
TXN-546077,2023-05-01,R&D,Maintenance,Maintenance related to R&D,Expense,17442.34,USD,Completed
TXN-197234,2024-11-07,HR,Utilities,Utilities related to HR,Expense,23796.82,USD,Completed
TXN-429014,2024-12-11,Legal,Procurement,Procurement related to Legal,Expense,4503.44,USD,Completed
TXN-873443,2024-08-28,Finance,Other Revenue,Other Revenue related to Finance,Revenue,72437.96,USD,Completed
TXN-673058,2023-08-13,Operations,Other Revenue,Other Revenue related to Operations,Revenue,62448.69,GBP,Completed
TXN-671927,2025-04-09,Legal,Product Sales,Product Sales related to Legal,Revenue,23075.27,USD,Completed
TXN-788289,2023-05-25,HR,Professional Services,Professional Services related to HR,Expense,12810.78,USD,Completed
TXN-276885,2023-01-08,Finance,Consulting Revenue,Consulting Revenue related to Finance,Revenue,16945.62,USD,Completed
TXN-601415,2023-10-18,HR,Subscription Revenue,Subscription Revenue related to HR,Revenue,50767.42,USD,Completed
TXN-738765,2023-01-31,Sales,Other Revenue,Other Revenue related to Sales,Revenue,36239.20,USD,Completed
TXN-162316,2023-01-09,Operations,Consulting Revenue,Consulting Revenue related to Operations,Revenue,120928.22,USD,Completed
TXN-414858,2023-04-19,Procurement,Cloud Infrastructure,Cloud Infrastructure related to Procurement,Expense,"$17,292.64",USD,Completed
TXN-997096,12/06/2024,Customer Support,Consulting Revenue,Consulting Revenue related to Customer Support,Revenue,66080.75,USD,Completed
TXN-309198,2023-10-22,Marketing,Service Revenue,Service Revenue related to Marketing,Revenue,139463.19,USD,Completed
TXN-145188,2023-07-18,Logistics,Cloud Infrastructure,Cloud Infrastructure related to Logistics,Expense,15466.23,USD,Completed
TXN-360826,2023-12-04,Procurement,Office,Office related to Procurement,Expense,7104.24,EUR,Completed
TXN-164799,2023-08-07,Procurement,Maintenance,Maintenance related to Procurement,Expense,29844.89,USD,Completed
TXN-527357,2024-12-29,Customer Support,Service Revenue,Service Revenue related to Customer Support,Revenue,"$271,127.59",USD,Completed
TXN-346822,17/02/2023,Marketing,Product Sales,Product Sales related to Marketing,Revenue,74748.00,USD,Completed
TXN-260204,2025-03-03,Marketing,Product Sales,Product Sales related to Marketing,Revenue,145462.35,USD,Completed
TXN-217030,2025-11-17,Logistics,Marketing,Marketing related to Logistics,Expense,"$12,526.90",USD,Completed
TXN-377893,2025-05-12,Legal,Travel,Travel related to Legal,Expense,34250.12,GBP,Completed
TXN-501344,2024-06-23,Finance,Procurement,Procurement related to Finance,Expense,16456.56,USD,Completed
TXN-315267,2024-07-26,Logistics,Marketing,Marketing related to Logistics,Expense,23426.20,USD,Completed
TXN-787263,2023-12-14,Customer Support,Service Revenue,Service Revenue related to Customer Support,Revenue,146847.89,USD,Completed
TXN-311647,2024-10-13,Operations,Marketing,Marketing related to Operations,Expense,24313.76,USD,Completed
TXN-893266,2024-04-19,Customer Support,Utilities,Utilities related to Customer Support,Expense,21991.86,USD,Completed
TXN-201256,2023-01-15,Procurement,Other Revenue,Other Revenue related to Procurement,Revenue,96592.11,USD,Completed
TXN-855447,2024-12-22,IT,Travel,Travel related to IT,Expense,22420.12,USD,Completed
TXN-357361,2025-12-20,Marketing,Service Revenue,Service Revenue related to Marketing,Revenue,121890.45,USD,Completed
TXN-875637,2023-04-04,Customer Support,Salaries,Salaries related to Customer Support,Expense,7637.79,USD,Completed
TXN-998861,2025-12-24,Procurement,Travel,Travel related to Procurement,Expense,8227.18,GBP,Completed
TXN-784837,2024-09-10,IT,Other Revenue,Other Revenue related to IT,Revenue,33356.40,GBP,Completed
TXN-511189,2023-09-30,R&D,Consulting Revenue,Consulting Revenue related to R&D,Revenue,12966.98,EUR,Completed
TXN-111454,27/08/2025,Customer Support,Travel,Travel related to Customer Support,Expense,13565.80,USD,Completed
TXN-368097,2024-05-28,IT,Other Revenue,Other Revenue related to IT,Revenue,54837.18,USD,Completed
TXN-848339,2024-08-13,Administration,Other Revenue,Other Revenue related to Administration,Revenue,145336.21,USD,Completed
TXN-961888,01/05/2023,HR,Professional Services,Professional Services related to HR,Expense,4735.61,EUR,Completed
TXN-408469,2023-10-04,Procurement,Training,Training related to Procurement,Expense,32619.84,USD,Completed
TXN-718326,2023-06-29,Procurement,Procurement,Procurement related to Procurement,Expense,28420.92,USD,Completed
TXN-897598,2025-02-28,Logistics,Product Sales,Product Sales related to Logistics,Revenue,"$65,694.47",USD,Completed
TXN-457686,2023-05-23,Finance,Cloud Infrastructure,Cloud Infrastructure related to Finance,Expense,5226.55,USD,Completed
TXN-422295,2023-03-22,Customer Support,Utilities,Utilities related to Customer Support,Expense,4445.52,USD,Completed
TXN-258508,29/05/2025,Sales,Office,Office related to Sales,Expense,2447.84,USD,Completed
TXN-707579,2023-11-08,Legal,Product Sales,Product Sales related to Legal,Revenue,"$99,253.12",USD,Completed
TXN-110289,07/08/2023,Sales,Cloud Infrastructure,Cloud Infrastructure related to Sales,Expense,35556.23,USD,Completed
TXN-353623,12/10/2024,Procurement,Consulting Revenue,Consulting Revenue related to Procurement,Revenue,"$228,879.36",USD,Completed
TXN-880994,2025-10-14,Legal,Service Revenue,Service Revenue related to Legal,Revenue,15301.52,EUR,Completed
TXN-880994,2025-10-14,Legal,Service Revenue,Service Revenue related to Legal,Revenue,15301.52,EUR,Completed
TXN-337327,13/09/2025,Operations,Consulting Revenue,Consulting Revenue related to Operations,Revenue,46128.14,USD,Completed
TXN-404494,2023-07-21,Finance,Office,Office related to Finance,Expense,25688.71,USD,Completed
TXN-423926,2023-10-23,HR,Consulting Revenue,Consulting Revenue related to HR,Revenue,65066.24,USD,Completed
TXN-514749,2024-02-06,Finance,Service Revenue,Service Revenue related to Finance,Revenue,76494.79,USD,Completed
TXN-984629,2024-04-29,HR,Professional Services,Professional Services related to HR,Expense,12005.92,GBP,Completed
TXN-848584,2023-05-30,Customer Support,Subscription Revenue,Subscription Revenue related to Customer Support,Revenue,23678.69,USD,Completed
TXN-705665,2024-08-21,Sales,Office,Office related to Sales,Expense,34539.53,USD,Completed
TXN-155814,2023-06-03,Administration,Cloud Infrastructure,Cloud Infrastructure related to Administration,Expense,48624.32,USD,Completed
TXN-791384,2024-02-18,Finance,Consulting Revenue,Consulting Revenue related to Finance,Revenue,9687.11,USD,Completed
TXN-200777,2024-08-19,Administration,Product Sales,Product Sales related to Administration,Revenue,116388.70,USD,Completed
TXN-141892,16/04/2023,Sales,Marketing,Marketing related to Sales,Expense,"$45,860.55",USD,Completed
TXN-390163,2023-09-18,HR,Product Sales,Product Sales related to HR,Revenue,"$13,179.65",USD,Completed
TXN-650512,08/06/2023,R&D,Subscription Revenue,Subscription Revenue related to R&D,Revenue,112003.39,USD,Completed
