Transaction_ID,Date,Department,Revenue,Expense,Profit,Budget,Transaction_Count,Avg_Transaction_Value,Channel,Currency,Accounting_Basis,Budget_Variance,Budget_Variance_Pct,Profit_Margin_Pct
TXN-00182,2024-02-07,Procurement,216201.453186,164346.686136,51854.77,152616.785828,85,2543.546508,Enterprise,INR,Actual,11729.9,7.69,23.98
TXN-00213,2024-02-08,Finance,155163.708332,114368.626796,40795.08,107530.856924,56,2770.780506,Partner,INR,Accrual,6837.77,6.36,26.29
TXN-00243,2024-02-09,Procurement,175801.526807,155006.284695,20795.24,148674.429177,83,2118.090684,Direct,INR,Accrual,6331.86,4.26,11.83
TXN-00273,2024-02-10,Operations,451961.780139,296971.496048,154990.28,282490.615343,90,5021.797557,Online,INR,Actual,14480.88,5.13,34.29
TXN-00303,2024-02-11,Administration,160582.110218,127233.715977,33348.39,119275.63604,106,1514.925568,Partner,INR,Actual,7958.08,6.67,20.77
TXN-00333,2024-02-12,Finance,193197.135557,107864.250093,85332.89,116269.973613,98,1971.399342,Enterprise,INR,Accrual,-8405.72,-7.23,44.17
TXN-00044,2024-02-13,Administration,182627.639039,110219.712194,72407.93,130331.09475,121,1509.319331,Partner,INR,Actual,-20111.38,-15.43,39.65
TXN-00045,2024-02-14,Logistics,258340.496645,586098.805815,-327758.31,229471.128741,76,3399.217061,Enterprise,INR,Actual,356627.68,155.41,-126.87
TXN-00046,2024-02-15,Sales,639960.861262,325883.435192,314077.43,367622.028766,98,6530.21287,Partner,INR,Accrual,-41738.59,-11.35,49.08
TXN-00047,2024-02-16,Operations,476930.155307,312363.041506,164567.11,333382.577635,109,4375.506012,Online,INR,Accrual,-21019.54,-6.3,34.51
TXN-00048,2024-02-17,Administration,179986.878208,112910.096847,67076.78,131974.399729,49,3673.201596,Direct,INR,Actual,-19064.3,-14.45,37.27
TXN-00049,2024-02-18,Logistics,286381.268405,263023.522892,23357.75,214656.186682,76,3768.174584,Direct,INR,Accrual,48367.34,22.53,8.16
TXN-00050,2024-02-19,R&D,362368.164167,256534.34826,105833.82,308275.5677,101,3587.803606,Partner,INR,Accrual,-51741.22,-16.78,29.21
TXN-00051,2024-02-20,IT,290471.02498,247983.701771,42487.32,201588.475439,107,2714.682476,Online,INR,Actual,46395.23,23.01,14.63
TXN-00052,2024-02-21,Administration,154565.321538,132373.083959,22192.24,126664.243362,98,1577.197159,Direct,INR,Accrual,5708.84,4.51,14.36
TXN-00053,2024-02-22,IT,291599.265929,208232.587117,83366.68,207987.126403,114,2557.888298,Online,INR,Accrual,245.46,0.12,28.59
TXN-00054,2024-02-23,Marketing,249411.323092,232457.333429,16953.99,233883.726905,98,2545.013501,Online,INR,Accrual,-1426.39,-0.61,6.8
TXN-00055,2024-02-24,Customer Support,194802.214115,150423.428383,44378.79,145056.272049,98,1987.777695,Online,INR,Actual,5367.16,3.7,22.78
TXN-00056,2024-02-25,Finance,238883.381553,121055.527736,117827.85,122251.529701,105,2275.079824,Enterprise,INR,Accrual,-1196.0,-0.98,49.32
TXN-00057,2024-02-26,Legal,148131.430528,99514.187445,48617.24,98029.278126,100,1481.314305,Direct,INR,Accrual,1484.91,1.51,32.82
TXN-00058,2024-02-27,Marketing,275073.450763,232144.285606,42929.17,239921.747813,0,1481.314305,Direct,INR,Actual,-7777.46,-3.24,15.61
TXN-00059,2024-02-28,Legal,149439.022952,110979.750685,38459.27,110436.905931,70,2134.843185,Online,INR,Accrual,542.84,0.49,25.74
TXN-00060,2024-02-29,Finance,188752.063243,116230.440783,72521.62,114064.748156,87,2169.563945,Partner,INR,Accrual,2165.69,1.9,38.42
TXN-00003,2024-03-01,Marketing,279633.8515,223010.078412,56623.77,203029.496091,85,3289.810018,Partner,INR,Accrual,19980.58,9.84,20.25
TXN-00034,2024-03-02,R&D,340626.771534,253538.241604,87088.53,279674.045621,84,4055.080613,Enterprise,INR,Actual,-26135.8,-9.35,25.57
TXN-00063,2024-03-03,Finance,208961.823491,116632.219604,92329.6,126514.270751,119,1755.98171,Online,INR,Actual,-9882.05,-7.81,44.18
TXN-00093,2024-03-04,Legal,132119.945181,111496.078266,20623.87,101305.244662,70,1887.427788,Online,INR,Accrual,10190.83,10.06,15.61
TXN-00123,2024-03-05,IT,291957.308406,195665.035818,96292.27,205475.725594,99,2949.063721,Direct,INR,Actual,-9810.69,-4.77,32.98
TXN-00153,2024-03-06,IT,278331.673344,177546.775183,100784.9,197315.886692,98,2840.119116,Online,INR,Actual,-19769.11,-10.02,36.21
TXN-00183,2024-03-07,IT,289918.316218,195381.151414,94537.16,185883.519245,78,3716.90149,Direct,INR,Accrual,9497.63,5.11,32.61
TXN-00214,2024-03-08,Logistics,267432.665245,239827.730442,27604.93,189801.576383,74,3613.954936,Online,INR,Accrual,50026.15,26.36,10.32
TXN-00244,2024-03-09,Finance,227509.805345,119191.451282,108318.35,101597.442077,101,2252.57233,Online,INR,Actual,17594.01,17.32,47.61
TXN-00274,2024-03-10,Marketing,241842.284182,181972.869583,59869.41,221602.231645,77,3140.808885,Direct,INR,Accrual,-39629.36,-17.88,24.76
TXN-00304,2024-03-11,Operations,478902.38844,323961.44706,154940.94,339415.654162,60,7981.706474,Partner,INR,Actual,-15454.21,-4.55,32.35
TXN-00334,2024-03-12,Operations,544427.497074,359832.746885,184594.75,353387.395766,96,5671.119761,Partner,INR,Actual,6445.35,1.82,33.91
TXN-00073,2024-03-13,Administration,170818.365046,120972.003541,49846.36,139425.850141,125,1366.54692,Direct,INR,Actual,-18453.85,-13.24,29.18
TXN-00074,2024-03-14,Sales,610935.087606,389610.908531,221324.18,372158.948528,117,5221.667415,Online,INR,Actual,17451.96,4.69,36.23
TXN-00075,2024-03-15,Administration,155082.862556,127062.136966,28020.73,126363.960088,93,1667.557662,Enterprise,INR,Accrual,698.18,0.55,18.07
TXN-00076,2024-03-17,Administration,152592.63288,121247.238029,31345.39,139674.421868,87,1753.938309,Enterprise,INR,Actual,-18427.18,-13.19,20.54
TXN-00077,2024-03-18,Operations,577161.7303,296192.891574,280968.84,326362.878115,82,7038.557687,Online,INR,Actual,-30169.99,-9.24,48.68
TXN-00078,2024-03-19,R&D,421882.10488,312813.423231,109068.68,310910.225286,82,5144.903718,Online,INR,Actual,1903.2,0.61,25.85
TXN-00079,2024-03-20,Procurement,272956.209224,168241.555283,104714.65,174604.52657,73,3739.126154,Partner,INR,Actual,-6362.97,-3.64,38.36
TXN-00080,2024-03-21,Sales,678600.086842,346834.781775,331765.31,345652.700112,107,6342.056886,Online,INR,Actual,1182.08,0.34,48.89
TXN-00081,2024-03-22,Procurement,243708.248854,180108.925564,63599.32,189288.002475,85,2867.155869,Online,INR,Actual,-9179.08,-4.85,26.1
TXN-00082,2024-03-23,IT,340953.563247,202817.19615,138136.37,206021.569,109,3128.014342,Online,INR,Accrual,-3204.37,-1.56,40.51
TXN-00083,2024-03-24,Sales,595537.538472,367409.798219,228127.74,335556.540835,104,5726.322485,Enterprise,INR,Actual,31853.26,9.49,38.31
TXN-00084,2024-03-25,Customer Support,224501.359554,141473.543327,83027.82,140955.806586,77,2915.602072,Partner,INR,Actual,517.74,0.37,36.98
TXN-00085,2024-03-26,Marketing,299455.315475,263798.587422,35656.73,240109.88409,80,3743.191443,Enterprise,INR,Actual,23688.7,9.87,11.91
TXN-00086,2024-03-27,Procurement,262143.184433,186072.277422,76070.91,181305.298132,109,2404.983343,Partner,INR,Actual,4766.98,2.63,29.02
TXN-00087,2024-03-28,Operations,497234.938754,341453.01488,155781.92,345811.820313,99,5022.575139,Partner,INR,Actual,-4358.81,-1.26,31.33
TXN-00088,2024-03-29,Marketing,361851.057949,242360.287004,119490.77,248836.997528,45,8041.134621,Enterprise,INR,Accrual,-6476.71,-2.6,33.02
TXN-00089,2024-03-30,Procurement,288110.369459,179388.654345,108721.72,184088.252742,106,2718.022353,Online,INR,Accrual,-4699.6,-2.55,37.74
TXN-00090,2024-03-31,Human Resources,134165.173244,105674.162883,28491.01,101963.278258,84,1597.204443,Online,INR,Accrual,3710.88,3.64,21.24
TXN-00004,2024-04-01,Administration,151062.795717,123317.069926,27745.73,118603.568795,71,2127.64501,Enterprise,INR,Accrual,4713.5,3.97,18.37
TXN-00035,2024-04-02,Finance,214873.291318,136941.984235,77931.31,107945.273434,60,3581.221522,Direct,INR,Accrual,28996.71,26.86,36.27
TXN-00064,2024-04-03,Finance,225112.472079,130607.899937,94504.57,112620.927714,123,1830.1827,Online,INR,Actual,17986.97,15.97,41.98
TXN-00094,2024-04-04,Sales,551705.078892,286727.576156,264977.5,369749.256009,94,5869.202967,Online,INR,Accrual,-83021.68,-22.45,48.03
TXN-00124,2024-04-05,Customer Support,160231.760436,170608.369515,-10376.61,126344.973872,87,1841.744373,Enterprise,INR,Actual,44263.4,35.03,-6.48
TXN-00154,2024-04-06,Finance,222570.985701,115711.745968,106859.24,114068.807443,94,2367.776444,Direct,INR,Accrual,1642.94,1.44,48.01
TXN-00184,2024-04-07,Sales,534901.076693,297249.56062,237651.52,320761.777646,119,4494.967031,Enterprise,INR,Actual,-23512.22,-7.33,44.43
TXN-00215,2024-04-08,Customer Support,193933.999156,132486.02506,61447.97,116188.328292,100,1939.339992,Online,INR,Actual,16297.7,14.03,31.68
TXN-00245,2024-04-09,R&D,361918.674095,294072.223133,67846.45,244806.082091,65,5567.979601,Online,INR,Actual,49266.14,20.12,18.75
TXN-00275,2024-04-10,Administration,159245.505576,120506.543558,38738.96,115030.347409,67,2376.798591,Online,INR,Actual,5476.2,4.76,24.33
TXN-00305,2024-04-11,Legal,138579.100054,85160.316426,53418.78,96636.956033,103,1345.428156,Online,INR,Accrual,-11476.64,-11.88,38.55
TXN-00335,2024-04-12,Sales,602826.40327,322474.259898,280352.14,336550.070272,76,7931.926359,Partner,INR,Accrual,-14075.81,-4.18,46.51
TXN-00103,2024-04-13,R&D,422932.24997,285080.340044,137851.91,297637.853678,84,5034.907738,Direct,INR,Actual,-12557.51,-4.22,32.59
TXN-00104,2024-04-14,R&D,334489.352905,283333.563661,51155.79,276444.008328,80,4181.116911,Partner,INR,Accrual,6889.56,2.49,15.29
TXN-00105,2024-04-15,Human Resources,146357.05612,102687.16141,43669.89,93331.571715,84,1742.345906,Direct,INR,Actual,9355.59,10.02,29.84
TXN-00106,2024-04-16,R&D,412493.722526,300535.70308,111958.02,291803.446464,117,3525.587372,Online,INR,Accrual,8732.26,2.99,27.14
TXN-00107,2024-04-17,IT,319517.173642,195649.367668,123867.81,211559.528266,55,5809.403157,Partner,INR,Actual,-15910.16,-7.52,38.77
TXN-00108,2024-04-18,Logistics,317164.24733,226698.085876,90466.16,231321.335763,87,3645.566061,Partner,INR,Accrual,-4623.25,-2.0,28.52
TXN-00109,2024-04-19,Legal,123314.181793,119795.979973,3518.2,106345.353143,120,1027.618182,Direct,INR,Actual,13450.63,12.65,2.85
TXN-00110,2024-04-20,Customer Support,233853.260282,133570.941302,100282.32,145101.959659,98,2386.257758,Online,INR,Actual,-11531.02,-7.95,42.88
TXN-00111,2024-04-21,Legal,186299.489064,101525.789094,84773.7,112249.212938,74,2517.560663,Online,INR,Accrual,-10723.42,-9.55,45.5
TXN-00112,2024-04-22,Legal,170580.476292,108076.595963,62503.88,108515.430764,82,2080.249711,Enterprise,INR,Actual,-438.83,-0.4,36.64
TXN-00113,2024-04-23,Customer Support,202450.86309,150278.827432,52172.04,147914.400744,77,2629.231988,Partner,INR,Actual,2364.43,1.6,25.77
TXN-00114,2024-04-24,Logistics,331127.812253,225922.000065,105205.81,234835.197897,95,3485.555918,Direct,INR,Accrual,-8913.2,-3.8,31.77
TXN-00115,2024-04-25,Customer Support,156673.877452,128994.067773,27679.81,140401.342236,103,1521.105606,Partner,INR,Actual,-11407.27,-8.12,17.67
TXN-00116,2024-04-26,R&D,363615.001676,263552.737067,100062.26,295385.960818,55,6611.181849,Online,INR,Accrual,-31833.22,-10.78,27.52
TXN-00117,2024-04-27,Customer Support,175944.781754,145037.425169,30907.36,151286.352732,58,3033.53072,Enterprise,INR,Accrual,-6248.93,-4.13,17.57
TXN-00118,2024-04-28,Sales,659441.897,382487.100679,276954.8,366831.690285,86,7667.929035,Direct,INR,Actual,15655.41,4.27,42.0
TXN-00119,2024-04-29,Sales,648305.74577,374266.345428,274039.4,330730.413628,96,6753.184852,Online,INR,Actual,43535.93,13.16,42.27
TXN-00120,2024-04-30,Logistics,289378.560509,254741.794497,34636.77,217575.910961,75,3858.380807,Enterprise,INR,Actual,37165.88,17.08,11.97
TXN-00005,2024-05-01,R&D,372539.940946,260989.873184,111550.07,258970.545614,74,5034.323526,Enterprise,INR,Accrual,2019.33,0.78,29.94
TXN-00036,2024-05-02,Operations,437833.456916,329634.357754,108199.1,351414.354789,92,4759.059314,Partner,INR,Accrual,-21780.0,-6.2,24.71
TXN-00065,2024-05-03,R&D,471897.969789,303249.856926,168648.11,314332.292446,101,4672.257127,Online,INR,Actual,-11082.44,-3.53,35.74
TXN-00095,2024-05-04,Logistics,311070.920072,230956.254833,80114.67,241104.347902,72,4320.429445,Direct,INR,Actual,-10148.09,-4.21,25.75
TXN-00125,2024-05-05,Administration,185379.881756,133850.720901,51529.16,123459.356907,73,2539.450435,Enterprise,INR,Accrual,10391.36,8.42,27.8
TXN-00155,2024-05-06,Marketing,265708.711261,208576.158201,57132.55,232205.424944,88,3019.417173,Enterprise,INR,Accrual,-23629.27,-10.18,21.5
TXN-00185,2024-05-07,Administration,149702.414337,96822.409679,52880.0,121316.822538,75,1996.032191,Direct,INR,Accrual,-24494.41,-20.19,35.32
TXN-00216,2024-05-08,Sales,577118.683661,291910.480373,285208.2,322202.80157,117,4932.638322,Direct,INR,Accrual,-30292.32,-9.4,49.42
TXN-00246,2024-05-09,Human Resources,109209.969735,98316.281391,10893.69,90332.282684,81,1348.271231,Enterprise,INR,Actual,7984.0,8.84,9.97
TXN-00276,2024-05-10,Sales,419454.631317,311302.085307,108152.55,293032.326908,71,5907.811709,Enterprise,INR,Accrual,18269.76,6.23,25.78
TXN-00306,2024-05-11,IT,309334.26379,156473.851563,152860.41,213747.472102,70,4419.060911,Enterprise,INR,Accrual,-57273.62,-26.79,49.42
TXN-00336,2024-05-12,R&D,398983.247145,314083.277188,84899.97,277263.51103,78,5115.169835,Partner,INR,Actual,36819.77,13.28,21.28
TXN-00133,2024-05-13,Customer Support,158329.702137,146255.23158,12074.47,142016.673431,128,1236.950798,Online,INR,Accrual,4238.56,2.98,7.63
TXN-00134,2024-05-14,Operations,574240.14074,319252.967726,254987.17,320926.530969,89,6452.136413,Partner,INR,Actual,-1673.56,-0.52,44.4
TXN-00135,2024-05-15,Finance,171885.621088,107617.193816,64268.43,118080.010069,78,2203.661809,Enterprise,INR,Accrual,-10462.82,-8.86,37.39
TXN-00136,2024-05-16,Marketing,283916.588835,225642.489804,58274.1,232829.618693,103,2756.471736,Partner,INR,Accrual,-7187.13,-3.09,20.53
TXN-00137,2024-05-17,Procurement,233288.085037,168508.476068,64779.61,161727.757823,63,3702.985477,Direct,INR,Actual,6780.72,4.19,27.77
TXN-00138,2024-05-18,Customer Support,200883.335484,146632.01859,54251.32,144810.569549,92,2183.514516,Enterprise,INR,Accrual,1821.45,1.26,27.01
TXN-00139,2024-05-19,IT,321231.320027,190148.667776,131082.65,203246.251891,89,3609.340674,Online,INR,Actual,-13097.58,-6.44,40.81
TXN-00140,2024-05-20,IT,307501.105013,180014.559456,127486.55,222349.539059,116,2650.871595,Partner,INR,Actual,-42334.98,-19.04,41.46
TXN-00141,2024-05-21,Human Resources,146149.409707,94705.095754,51444.31,96958.498598,106,1378.768016,Online,INR,Accrual,-2253.4,-2.32,35.2
TXN-00142,2024-05-22,IT,309123.120059,213359.115276,95764.0,218174.867504,83,3724.37494,Enterprise,INR,Actual,-4815.75,-2.21,30.98
TXN-00143,2024-05-23,Logistics,317517.023848,226733.243738,90783.78,224901.892852,83,3825.506311,Online,INR,Accrual,1831.35,0.81,28.59
TXN-00144,2024-05-24,R&D,337407.178185,348027.373348,-10620.2,275558.882031,97,3478.424517,Direct,INR,Accrual,72468.49,26.3,-3.15
TXN-00145,2024-05-25,Legal,129159.255795,102701.074048,26458.18,111492.747878,104,1241.915921,Direct,INR,Accrual,-8791.67,-7.89,20.48
TXN-00146,2024-05-26,IT,371377.613521,209469.289726,161908.32,195107.713883,109,3407.134069,Online,INR,Actual,14361.58,7.36,43.6
TXN-00147,2024-05-27,Operations,452821.421929,347176.827959,105644.59,305191.288861,89,5087.881145,Enterprise,INR,Actual,41985.54,13.76,23.33
TXN-00148,2024-05-28,R&D,426308.209419,368010.155153,58298.05,302574.202102,81,5263.064314,Online,INR,Accrual,65435.95,21.63,13.68
TXN-00149,2024-05-29,Logistics,256878.746253,207108.052598,49770.69,243013.257202,80,3210.984328,Enterprise,INR,Actual,-35905.2,-14.77,19.38
TXN-00150,2024-05-30,Legal,162052.364616,110515.940868,51536.42,104549.793334,53,3057.591785,Partner,INR,Accrual,5966.15,5.71,31.8
TXN-00006,2024-06-01,Administration,153239.882616,120814.463928,32425.42,111949.956404,65,2357.536656,Direct,INR,Actual,8864.51,7.92,21.16
TXN-00037,2024-06-02,IT,433894.694025,210827.472784,223067.22,208805.534022,96,4519.736396,Partner,INR,Accrual,2021.94,0.97,51.41
TXN-00066,2024-06-03,Operations,508363.574611,345031.157203,163332.42,314436.189659,75,6778.180995,Direct,INR,Actual,30594.97,9.73,32.13
TXN-00096,2024-06-04,Sales,596447.885218,375763.234192,220684.65,361871.90742,73,8170.518976,Online,INR,Accrual,13891.33,3.84,37.0
TXN-00126,2024-06-05,Procurement,219023.442568,213474.519177,5548.92,167125.281739,94,2330.036623,Online,INR,Actual,46349.24,27.73,2.53
TXN-00156,2024-06-06,Customer Support,217721.16385,140244.764261,77476.4,137243.020803,108,2015.936702,Online,INR,Accrual,3001.74,2.19,35.59
TXN-00186,2024-06-07,Human Resources,146504.212918,79912.72924,66591.48,86136.543582,45,3255.649176,Partner,INR,Actual,-6223.81,-7.23,45.45
TXN-00217,2024-06-08,Legal,123611.163241,88817.708241,34793.46,86718.648871,98,1261.3384,Online,INR,Actual,2099.06,2.42,28.15
TXN-00247,2024-06-09,IT,312356.256961,161444.497915,150911.76,191075.845705,80,3904.453212,Direct,INR,Accrual,-29631.35,-15.51,48.31
TXN-00277,2024-06-10,Sales,490303.814687,308394.268342,181909.55,287554.308566,99,4952.563785,Partner,INR,Accrual,20839.96,7.25,37.1
TXN-00307,2024-06-11,Logistics,300608.553046,208387.599337,92220.95,215485.644538,114,2636.917132,Direct,INR,Actual,-7098.05,-3.29,30.68
TXN-00337,2024-06-12,IT,352960.724457,215803.864726,137156.86,224955.687133,98,3601.640045,Online,INR,Actual,-9151.82,-4.07,38.86
TXN-00163,2024-06-13,Marketing,210841.609876,236966.131102,-26124.52,235280.549441,65,3243.717075,Direct,INR,Accrual,1685.58,0.72,-12.39
TXN-00164,2024-06-14,Legal,108402.905639,101166.174822,7236.73,107474.320963,104,1042.335631,Partner,INR,Actual,-6308.15,-5.87,6.68
TXN-00165,2024-06-15,Procurement,287922.417412,154578.923368,133343.49,157909.82872,70,4113.177392,Partner,INR,Actual,-3330.91,-2.11,46.31
TXN-00166,2024-06-16,Human Resources,124406.765863,88007.049963,36399.72,89264.397502,99,1256.633999,Direct,INR,Accrual,-1257.35,-1.41,29.26
TXN-00167,2024-06-17,Marketing,248823.149529,207365.014777,41458.13,205921.423813,50,4976.462991,Enterprise,INR,Accrual,1443.59,0.7,16.66
TXN-00168,2024-06-18,Administration,140710.035171,128049.230191,12660.8,131115.3683,57,2468.597108,Partner,INR,Accrual,-3066.14,-2.34,9.0
TXN-00169,2024-06-19,Customer Support,226763.336686,124673.610508,102089.73,125299.110842,87,2606.475134,Online,INR,Actual,-625.5,-0.5,45.02
TXN-00170,2024-06-20,Logistics,79895.366142,214634.727502,-134739.36,201031.761914,75,4153.757373,Direct,INR,Actual,13602.97,6.77,-168.64
TXN-00171,2024-06-21,Customer Support,171399.764322,130448.758623,40951.01,142377.784733,110,1558.179676,Direct,INR,Actual,-11929.03,-8.38,23.89
TXN-00172,2024-06-22,Customer Support,170179.06332,131446.684728,38732.38,135087.153706,102,1668.422189,Online,INR,Actual,-3640.47,-2.69,22.76
TXN-00173,2024-06-23,R&D,433174.757765,324007.99492,109166.76,257634.804752,78,5553.522535,Enterprise,INR,Actual,66373.19,25.76,25.2
TXN-00174,2024-06-24,R&D,393507.77789,274035.386579,119472.39,294784.244844,81,4858.120715,Partner,INR,Actual,-20748.86,-7.04,30.36
TXN-00175,2024-06-25,Marketing,231584.434989,198952.18275,32632.25,214225.125717,84,2756.957559,Direct,INR,Actual,-15272.94,-7.13,14.09
TXN-00176,2024-06-26,Administration,190478.349862,122519.970297,67958.38,129981.7434,103,1849.304368,Partner,INR,Accrual,-7461.77,-5.74,35.68
TXN-00177,2024-06-27,Customer Support,193207.509496,156693.959534,36513.55,127753.544232,89,2170.870893,Enterprise,INR,Accrual,28940.42,22.65,18.9
TXN-00178,2024-06-28,Sales,569347.566084,321410.062232,247937.5,320461.296148,80,7116.844576,Online,INR,Actual,948.77,0.3,43.55
TXN-00179,2024-06-29,IT,352507.157122,231669.649667,120837.51,209998.210941,81,4351.940211,Partner,INR,Actual,21671.44,10.32,34.28
TXN-00180,2024-06-30,Procurement,226454.646277,170267.631664,56187.01,173463.721128,77,2940.969432,Online,INR,Accrual,-3196.09,-1.84,24.81
TXN-00007,2024-07-01,Human Resources,133618.802398,88880.860071,44737.94,93564.430372,90,1484.65336,Online,INR,Actual,-4683.57,-5.01,33.48
TXN-00038,2024-07-02,Finance,181846.669006,115450.354932,66396.31,111494.553418,88,2066.439421,Direct,INR,Actual,3955.8,3.55,36.51
TXN-00067,2024-07-03,Logistics,316515.455402,207536.228545,108979.23,220861.578324,104,3043.41784,Direct,INR,Accrual,-13325.35,-6.03,34.43
